kind,T,absent_2025,absent_after_all,corp_cls,corp_cls_now,corp_code,corp_name,delist_year,example_disclosure,present_before,removal_ok,stock_code
d1_delisted,,0,0,,E,01011562,우성아이비,2018,기타시장안내(상장폐지 결정등 효력정지 가처분신청 기각결정에 따른 정리매매절차 재개),1,0,
d1_delisted,,1,1,,E,00695464,차이나그레이트스타인터내셔널리미티드,2019,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),1,1,
d1_delisted,,1,1,,E,00418476,엠제이비,2016,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),1,1,
d1_delisted,,1,1,,E,00967778,나이코,2016,주권매매거래정지(자진상장폐지신청),1,1,
d1_delisted,,0,1,,N,01118643,솔루믹스,2025,기타시장안내              (상장폐지 관련 이의신청서 접수 및 개선기간 부여),1,0,
d1_delisted,,0,0,,E,00402989,유한코스메틱,2021,기타경영사항(자율공시)(정리매매절차 진행중지 가처분 신청),1,0,
d1_delisted,,1,1,,E,01038161,대우기업인수목적2호,2017,기타경영사항(자율공시)(상장폐지 및 청산관련 주요사항 안내),1,1,
d1_delisted,,0,0,,E,00111227,대양제지공업,2022,기타경영사항(자율공시)              (상장폐지 후 투자자보호대책(장외매수)),1,0,
d1_delisted,,0,0,,E,00154426,아이에이치큐,2023,기타시장안내              (상장폐지결정 효력정지 가처분 신청 기각결정에 따른 정리매매절차 재개),1,0,
d1_delisted,,1,0,,E,00757816,모다,2018,기타경영사항(자율공시)(상장폐지결정무효확인 청구의 소),1,1,
d1_delisted,,0,0,,E,00681142,쌍방울,2023,기타경영사항(자율공시)              (상장폐지결정 효력정지 등 가처분 신청 기각결정에 대한 즉시항고),1,0,
d1_delisted,,1,0,,E,00806972,매직마이크로,2015,주권매매거래정지해제(상장폐지에 따른 정리매매 재개),1,1,
d1_delisted,,1,0,,E,00823687,웨이포트유한공사,2017,기타주요경영사항(상장폐지 후 투자자보호대책 (장외매수)),1,1,
d1_delisted,,1,1,,E,00526474,동북아14호선박투자회사,2017,상장폐지결정,1,1,
d1_delisted,,1,1,,E,01075047,키움제3호기업인수목적,2018,기타경영사항(자율공시)(상장폐지 및 청산관련 주요사항 안내),1,1,
d1_delisted,,1,1,,E,01041217,현대에이블기업인수목적1호,2017,주권매매거래정지(상장폐지 사유발생),1,1,
d1_delisted,,1,0,,E,00389679,해피드림,2015,기타경영사항(자율공시)(상장폐지금지가처분신청 기각에 대한 항고),1,1,
d1_delisted,,0,0,,E,00638539,앤에스,2021,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),1,0,
d2_gap,2017,,,E,,00972293,파멥신,,,,,208340
d2_gap,2018,,,K,,00155586,HLB이노베이션,,,,,024850
d2_gap,2019,,,K,,00356839,메디콕스,,,,,054180
d2_gap,2019,,,E,,00389679,해피드림,,,,,065180
d2_gap,2019,,,K,,00155586,HLB이노베이션,,,,,024850
d2_gap,2020,,,E,,00120216,KB손해보험,,,,,002550
d2_gap,2020,,,E,,01168143,케이만금세기차륜집단유한공사,,,,,900280
d2_gap,2020,,,K,,01236286,컬러레이,,,,,900310
d2_gap,2020,,,K,,01328639,윙입푸드,,,,,900340
d2_gap,2020,,,K,,00453442,해성에어로보틱스,,,,,059270
d2_gap,2020,,,K,,00799070,딥커머스,,,,,900110
d2_gap,2020,,,K,,00781202,파이온엑스,,,,,900100
d2_gap,2021,,,E,,00496225,이엠네트웍스,,,,,087730
d2_gap,2021,,,E,,00120216,KB손해보험,,,,,002550
d2_gap,2021,,,K,,01105621,엔투텍,,,,,227950
d2_gap,2021,,,E,,01168143,케이만금세기차륜집단유한공사,,,,,900280
d2_gap,2021,,,K,,01169434,오가닉티코스메틱,,,,,900300
d2_gap,2021,,,N,,01085442,오건에코텍,,,,,212310
d2_gap,2021,,,K,,00156600,한주라이트메탈,,,,,198940
d2_gap,2021,,,E,,00495554,와이앤넥스트,,,,,090740
d2_gap,2021,,,E,,00352718,소리바다,,,,,053110
d2_gap,2021,,,K,,00453442,해성에어로보틱스,,,,,059270
d2_gap,2021,,,K,,00781202,파이온엑스,,,,,900100
d2_gap,2021,,,E,,00127699,유네코,,,,,064510
d2_gap,2022,,,K,,01160512,헝셩그룹,,,,,900270
d2_gap,2022,,,N,,00762377,씨앗,,,,,103660
d2_gap,2022,,,E,,00273615,비케이탑스,,,,,030790
d2_gap,2022,,,K,,01105621,엔투텍,,,,,227950
d2_gap,2022,,,K,,00814786,티엔엔터테인먼트,,,,,131100
d2_gap,2022,,,K,,01169434,오가닉티코스메틱,,,,,900300
d2_gap,2022,,,E,,00971090,어스앤에어로스페이스,,,,,263540
d2_gap,2022,,,K,,00156600,한주라이트메탈,,,,,198940
d2_gap,2022,,,K,,00155586,HLB이노베이션,,,,,024850
d2_gap,2022,,,E,,00364795,레드로버,,,,,060300
d2_gap,2022,,,K,,00475718,이엠앤아이,,,,,083470
d2_gap,2022,,,E,,00108065,에코바이브,,,,,015540
d2_gap,2022,,,Y,,00125576,체시스,,,,,033250
d2_gap,2022,,,N,,00607797,엄지하우스,,,,,224810
d2_gap,2022,,,E,,00127699,유네코,,,,,064510
d2_gap,2022,,,E,,01091382,세토피아,,,,,222810
d2_gap,2023,,,E,,01037542,엔피엑스,,,,,222160
d2_gap,2023,,,K,,00155586,HLB이노베이션,,,,,024850
d2_gap,2023,,,Y,,00125576,체시스,,,,,033250
